gs
7.18
15.944
3.95
26.909
43.172
18.837
10.617
23.033
10.588
3.057
5.573
13.365
7.631
0.0
2.53
14.036
17.084
2.999
14.007
19.712
19.24
9.594
21.287
4.335
11.841
4.75
2.297
3.648
11.219
5.87
22.12
20.015
31.486
38.22
8.488
10.196
13.874
17.323
15.199
30.183
13.2
11.27
14.823
36.634
4.38
30.183
63.493
0.0
0.108
26.323
